t (ms),Ina (pA)
5.7,-13.45142058
5.71,-13.39822787
5.72,-13.34551252
5.73,-13.29327027
5.74,-13.24149686
5.75,-13.19018809
5.76,-13.13933979
5.77,-13.08894782
5.78,-13.03900808
5.79,-12.98951653
5.8,-12.94046914
5.81,-12.89186192
5.82,-12.84369093
5.83,-12.79595224
5.84,-12.74864197
5.85,-12.70175629
5.86,-12.65529139
5.87,-12.60924347
5.88,-12.56360882
5.89,-12.5183837
5.9,-12.47356446
5.91,-12.42914744
5.92,-12.38512904
5.93,-12.34150569
5.94,-12.29827382
5.95,-12.25542994
5.96,-12.21297056
5.97,-12.17089222
5.98,-12.12919152
5.99,-12.08786505
6,-12.04690947
6.01,-12.00632144
6.02,-11.96609766
6.03,-11.92623487
6.04,-11.88672983
6.05,-11.84757932
6.06,-11.80878016
6.07,-11.7703292
6.08,-11.73222332
6.09,-11.69445942
6.1,-11.65703443
6.11,-11.61994531
6.12,-11.58318903
6.13,-11.54676263
6.14,-11.51066313
6.15,-11.47488761
6.16,-11.43943315
6.17,-11.40429687
6.18,-11.36947592
6.19,-11.33496747
6.2,-11.30076871
6.21,-11.26687687
6.22,-11.23328919
6.23,-11.20000294
6.24,-11.16701541
6.25,-11.13432393
6.26,-11.10192583
6.27,-11.06981849
6.28,-11.03799929
6.29,-11.00646566
6.3,-10.97521502
6.31,-10.94424483
6.32,-10.91355259
6.33,-10.88313579
6.34,-10.85299197
6.35,-10.82311866
6.36,-10.79351346
6.37,-10.76417394
6.38,-10.73509773
6.39,-10.70628247
6.4,-10.6777258
6.41,-10.64942541
6.42,-10.621379
6.43,-10.5935843
6.44,-10.56603903
6.45,-10.53874097
6.46,-10.51168789
6.47,-10.4848776
6.48,-10.45830791
6.49,-10.43197668
6.5,-10.40588175
6.51,-10.38002101
6.52,-10.35439235
6.53,-10.3289937
6.54,-10.30382298
6.55,-10.27887816
6.56,-10.2541572
6.57,-10.2296581
6.58,-10.20537887
6.59,-10.18131752
6.6,-10.15747212
6.61,-10.13384071
6.62,-10.11042138
6.63,-10.08721223
6.64,-10.06421136
6.65,-10.04141692
6.66,-10.01882704
6.67,-9.996439894
6.68,-9.97425366
6.69,-9.952266534
6.7,-9.93047673
6.71,-9.908882478
6.72,-9.887482021
6.73,-9.866273621
6.74,-9.845255555
6.75,-9.824426114
6.76,-9.803783605
6.77,-9.783326351
6.78,-9.763052689
6.79,-9.742960971
6.8,-9.723049566
6.81,-9.703316854
6.82,-9.683761231
6.83,-9.66438111
6.84,-9.645174914
6.85,-9.626141082
6.86,-9.607278068
6.87,-9.58858434
